DB,Projectid,Paperid,Year,Authors,Title,Journal,DOI,URL,Data Availability,Date of downloading,Citation of data source,Creative Commons Liscence,creativecommonsliscence
GAZP,27,1,2017,"Luis Merino-Martín, Lucy Commander, Zhun Mao, Jason C. Stevens, Ben P. Miller, Peter J. Golos, C. Ellery Mayenceb,c,d, Kingsley Dixon",Overcoming topsoil deficits in restoration of semiarid lands: Designing hydrologically favourable soil covers for seedling emergence,Ecological Engineering,10.1016/j.ecoleng.2017.04.033,http://dx.doi.org/10.1016/j.ecoleng.2017.04.033,NA,NA,NA,NA,NA
GAZP,28,1,2019,"Brandt, AJ; Seabloom, EW; Cadotte, MW",Nitrogen alters effects of disturbance on annual grassland community diversity: Implications for restoration,JOURNAL OF ECOLOGY,10.1111/1365-2745.13245,http://doi.org/10.1111/1365-2745.13245,NA,03.26.2020,"Seabloom, Eric W. (2016), Data from: Spatial and temporal variability in propagule limitation of California native grasses, Dryad, Dataset, https://doi.org/10.5061/dryad.61jq1",CC0,CC0
GAZP,28,2,2011,"Seabloom, EW",Spatial and temporal variability in propagule limitation of California native grasses,OIKOS,10.1111/j.1600-0706.2010.18781.x,http://doi.org/10.1111/j.1600-0706.2010.18781.x,NA,03.26.2020,"Seabloom, Eric W. (2016), Data from: Spatial and temporal variability in propagule limitation of California native grasses, Dryad, Dataset, https://doi.org/10.5061/dryad.61jq1",CC0,CC0
GAZP,29,1,2007,"Jaume Tormo, Esther Bochet, Patricio García-Fayos","Roadfill Revegetation in Semiarid Mediterranean Environments. Part II: Topsoiling, Species Selection, and Hydroseeding",Restoration Ecology,NA,https://doi.org/10.1111/j.1526-100X.2006.00194.x,NA,NA,NA,NA,NA
GAZP,32,1,2012,"Claire E. Wainwright, Elizabeth M. Wolkovich, Elsa E. Cleland",Seasonal priority effects: implications for invasion and restoration in a semi-arid system,Journal of Applied Ecology,10.1111/j.1365-2664.2011.02088.x,https://doi.org/10.1111/j.1365-2664.2011.02088.x,NA,NA,NA,NA,NA
GAZP,33,1,2012,"Joshua D. Eldridge, Edward F. Redente, Mark  Paschke","The Use of Seedbed Modifications and Wood Chips to Accelerate Restoration of Well Pad Sites in Western Cololrado, U.S.A.",Restoration Ecology,10.1111/j.1526-100X.2011.00783.x,https://doi.org/10.1111/j.1526-100X.2011.00783.x,NA,NA,NA,NA,NA
GAZP,38,1,2016,"Paterno, GB; Siqueira, JA; Ganade, G","Species-specific facilitation, ontogenetic shifts and consequences for plant community succession",JOURNAL OF VEGETATION SCIENCE,10.1111/jvs.12382,http://doi.org/10.1111/jvs.12382,NA,NA,NA,NA,NA
GAZP,40,1,2017,"Charles Ellery Mayence, Peter J. Carrick, Dale Van Beem, Eefje Broenland and Kingsley W. Dixon","Seed dormancy, soil type and protective shelters influence seedling emergence at Shark Bay, Western Australia: Insight into global dryland revegetation",ECOLOGICAL MANAGEMENT & RESTORATION,10.1111/emr.12253,https://doi.org/10.1111/emr.12253,NA,NA,NA,NA,NA
GAZP,41,1,2016,"C. E. Mayence, J. C. Stevens, P. Courtney, K. W. Dixon",Edaphic constraints on seed germination and emergence of three Acacia species for dryland restoration in Saudi Arabia,Plant Ecol,10.1007/s11258-016-0680-z,https://doi.org/10.1007/s11258-016-0680-z,NA,NA,NA,NA,NA
GAZP,42,1,2009,"Emiliano Quiroga, Lisandro Blanco, Enrique Oriomte",Evaluación de estrategias de rehabilitación de pastizales áridos,Ecología Austral,NA,NA,NA,NA,NA,NA,NA
GAZP,43,1,2002,Dr Patricia M Holmes,"Renosterveld Restoration on Cultivated Lands at Eerste River, Western Cape: Preliminary Findings of a Pilot Study",NA,NA,NA,NA,NA,NA,NA,NA
GAZP,44,1,2011,"de la Riva, EG; Casado, MA; Jimenez, MD; Mola, I; Costa-Tenorio, M; Balaguer, L",Rates of local colonization and extinction reveal different plant community assembly mechanisms on road verges in central Spain,JOURNAL OF VEGETATION SCIENCE,10.1111/j.1654-1103.2010.01248.x,http://doi.org/10.1111/j.1654-1103.2010.01248.x,NA,NA,NA,NA,NA
GAZP,45,1,2012,"Ballesteros, M; Canadas, EM; Foronda, A; Fernandez-Ondono, E; Penas, J; Lorite, J",Vegetation recovery of gypsum quarries: short-term sowing response to different soil treatments,APPLIED VEGETATION SCIENCE,10.1111/j.1654-109X.2011.01166.x,http://doi.org/10.1111/j.1654-109X.2011.01166.x,NA,NA,NA,NA,NA
GAZP,46,1,2010,"Torok, P; Deak, B; Vida, E; Valko, O; Lengyel, S; Tothmeresz, B",Restoring grassland biodiversity: Sowing low-diversity seed mixtures can lead to rapid favourable changes,BIOLOGICAL CONSERVATION,10.1016/j.biocon.2009.12.024,http://doi.org/10.1016/j.biocon.2009.12.024,NA,NA,NA,NA,NA
GAZP,46,2,2011,"Valkó, O., Deák, B., Török, P., Kelemen, A., Miglécz, T., Tóth, K., Tóthmérész, B. ",Litter and graminoid biomass accumulation suppresses weedy forbs in grassland restoration,Plant Biosystems,10.1080/11263504.2011.601336,https://doi.org/10.1080/11263504.2011.601336,NA,NA,NA,NA,NA
GAZP,46,3,2016,"Miglécz, T., Valkó, O., Török, P., Deák, B., Kelemen, A., Donkó, Á., Drexler, D., Tóthmérész, B.",Abandonment of croplands: problem or chance for grassland restoration? Case studies from Hungary,Ecosystem Health and Sustainability,10.1002/ehs2.1208,https://doi.org/10.1002/ehs2.1208,NA,NA,NA,NA,NA
GAZP,48,1,2018,"Orsolya Valkó, Katalin Tóth, András Kelemen, Tamás Miglécz, Szilvia Radócz, Judit Sonkoly, Béla Tóthmérész, Péter Török4, Balázs Deák",Cultural heritage and biodiversity conservation – plant introduction and practical restoration on ancient burial mounds,Nature Conservation,10.3897/natureconservation.24.20019,https://doi.org/10.3897/natureconservation.24.20019,NA,NA,NA,NA,NA
GAZP,51,1,2017,"Miguel Ballesteros, Eva María Cañadas, Rob H. Marrs, Ana Foronda, Francisco José Martín-Peinado, Juan Lorite",RESTORATION OF GYPSICOLOUS VEGETATION ON QUARRY SLOPES: GUIDANCE FOR HYDROSEEDING UNDER CONTRASTING INCLINATION AND ASPECT,land degradation & development,10.1002/ldr.2740,https://doi.org/10.1002/ldr.2740,NA,NA,NA,NA,NA
GAZP,53,1,2012,"Kirmer, A; Baasch, A; Tischew, S",Sowing of low and high diversity seed mixtures in ecological restoration of surface mined-land,APPLIED VEGETATION SCIENCE,10.1111/j.1654-109X.2011.01156.x,http://doi.org/10.1111/j.1654-109X.2011.01156.x,NA,NA,NA,NA,NA
GAZP,54,1,2016,"Waller, PA; Anderson, PML; Holmes, PM; Allsopp, N","Seedling recruitment responses to interventions in seed-based ecological restoration of Peninsula Shale Renosterveld, Cape Town",SOUTH AFRICAN JOURNAL OF BOTANY,10.1016/j.sajb.2015.09.009,http://doi.org/10.1016/j.sajb.2015.09.009,NA,NA,NA,NA,NA
GAZP,56,1,2006,"Guo, QF; Shaffer, T; Buhl, T","Community maturity, species saturation and the variant diversity-productivity relationships in grasslands",ECOLOGY LETTERS,10.1111/j.1461-0248.2006.00980.x,http://doi.org/10.1111/j.1461-0248.2006.00980.x,NA,NA,NA,NA,NA
GAZP,57,1,2006,"G.G. Barberá, J.A. Navarro-Cano_x0001_, V.M. Castillo",Seedling recruitment in a semi-arid steppe: The role of microsite and post-dispersal seed predation,Journal of Arid Environments,10.1016/j.jaridenv.2006.03.019,https://doi.org/10.1016/j.jaridenv.2006.03.019,NA,NA,NA,NA,NA
GAZP,58,1,2011,"Matt A. Bahm, Thomas G. Barnes, and Kent C. Jensen",Restoring Native Plant Communities in Smooth Brome (Bromus inermis)– Dominated Grasslands,Invasive Plant Science and Management,10.1614/IPSM-D-10-00047.1,https://doi.org/10.1614/IPSM-D-10-00047.1,NA,NA,NA,NA,NA
GAZP,59,1,2015,"Matt A. Bahm, Thomas G. Barnes and Kent C. Jensen",Native Grass Establishment using Journey® Herbicide,Natural Areas,10.3375/043.035.0109,http://www.bioone.org/doi/full/10.3375/043.035.0109,NA,NA,NA,NA,NA
GAZP,60,1,2017,"Barr, S; Jonas, JL; Paschke, MW",Optimizing seed mixture diversity and seeding rates for grassland restoration,RESTORATION ECOLOGY,10.1111/rec.12445,http://doi.org/10.1111/rec.12445,NA,NA,NA,NA,NA
GAZP,61,1,2013,"Christopher M. Herron, Jayne L. Jonas, Paul J. Meiman, Mark W. Paschke",Using native annual plants to restore post-fire habitats in western North America,International Journal of Wildland Fire,NA,http://dx.doi.org/10.1071/WF11179,NA,NA,NA,NA,NA
GAZP,65,1,2011,"Barry Heydenrych, Danny ten Seldam",A preliminary evaluation of native plant establishment by direct seeding at a range of sites on the south coast of Western Australia,Greening Australia,NA,NA,NA,NA,NA,NA,NA
GAZP,66,1,2016,"Stephen E. Fick, Cheryl Decker, Michael C. Duniway, and Mark E. Miller",Small-scale barriers mitigate desertification processes and enhance plant recruitment in a degraded semiarid grassland,Ecosphere,10.1002/ecs2.1354,https://doi.org/10.1002/ecs2.1354,NA,NA,NA,NA,NA
GAZP,67,1,2004,"Bakker, JD; Wilson, SD",Using ecological restoration to constrain biological invasion,JOURNAL OF APPLIED ECOLOGY,10.1111/j.0021-8901.2004.00962.x,http://doi.org/10.1111/j.0021-8901.2004.00962.x,NA,NA,NA,NA,NA
GAZP,67,2,2004,"Wilson, SD; Bakker, JD; Christian, JM; Li, XD; Ambrose, LG; Waddington, J",Semiarid old-field restoration: Is neighbor control needed?,ECOLOGICAL APPLICATIONS,10.1890/02-5296,http://doi.org/10.1890/02-5296,NA,NA,NA,NA,NA
GAZP,68,1,2003,"Jonathan D. Bakker, Scott D. Wilson, Janice M. Christian, Xingdong Li, Laura G. Ambrose, John Waddington","CONTINGENCY OF GRASSLAND RESTORATION ON YEAR, SITE, AND COMPETITION FROM INTRODUCED GRASSES",Ecological Applications,NA,https://doi.org/10.1890/1051-0761(2003)013[0137:COGROY]2.0.CO;2,NA,NA,NA,NA,NA
GAZP,69,1,1995,"Scott D. Wilson, Ann K. Gerry","Strategies for Mixed-Grass Prairie Restoration: Herbicide, Tilling, and Nitrogen Manipulation",Society for Ecological Restoration,NA,https://doi.org/10.1111/j.1526-100X.1995.tb00096.x,NA,NA,NA,NA,NA
GAZP,71,1,2012,"Baasch, A; Kirmer, A; Tischew, S",Nine years of vegetation development in a postmining site: effects of spontaneous and assisted site recovery,JOURNAL OF APPLIED ECOLOGY,10.1111/j.1365-2664.2011.02086.x,http://doi.org/10.1111/j.1365-2664.2011.02086.x,NA,NA,NA,NA,NA
GAZP,72,1,2015,"Merilynn C. Scahntz, Roger L. Sheley, Jeremy J. James",Role of propagule pressure and priority effects on seedlings during invasion and restoration of shrub-steppe,Biol Invasions,10.1007/s10530-014-0705-2,https://doi.org/10.1007/s10530-014-0705-2,NA,NA,NA,NA,NA
GAZP,72,2,2016,"Merilynn C. Schantz, Roger L. Sheley, Jeremy J. James, and Erik P. Hamerlynck",ROLE OF DISPERSAL TIMING AND FREQUENCY IN ANNUAL GRASS–INVADED GREAT BASIN ECOSYSTEMS: HOW MODIFYING SEEDING STRATEGIES INCREASES RESTORATION SUCCESS,Western North American Naturalist,NA,https://doi.org/10.3398/064.076.0106,NA,NA,NA,NA,NA
GAZP,73,1,2018,"Kirmer, A; Rydgren, K; Tischew, S",Smart management is key for successful diversification of field margins in highly productive farmland,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,10.1016/j.agee.2017.09.028,http://doi.org/10.1016/j.agee.2017.09.028,NA,NA,NA,NA,NA
GAZP,74,1,2010,"Monica L. Pokorny, Jane M. Mangold, James Hafer, and M. Kirk Denny",Managing Spotted Knapweed (Centaurea stoebe)–Infested Rangeland after Wildfire,Invasive Plant Science and Management,10.1614/IPSM-09-023.1,https://doi.org/10.1614/IPSM-09-023.1,NA,NA,NA,NA,NA
GAZP,75,1,2017,"Katharine L. Stuble, Stephen E. Fick and Truman P. Young",Every restoration is unique: testing year effects and site effects as drivers of initial restoration trajectories,Journal of Applied Ecology,10.1111/1365-2664.12861,https://doi.org/10.1111/1365-2664.12861,NA,NA,NA,NA,NA
GAZP,76,1,2009,Monica l. Pokorny,Converting Pasture Land to Native-Plant-Dominated Grassland: A Case Study (Montana),Ecological REstoRation,NA,https://www.jstor.org/stable/43441287,NA,NA,NA,NA,NA
GAZP,77,1,2007,Darin J. Law and Peter F. Kolb,"The Effects of Forest Residual Debris Disposal on Perennial Grass Emergence, Growth, and Survival in a Ponderosa Pine Ecotone",Rangeland Ecol Manag,NA,https://www.jstor.org/stable/4540871,NA,NA,NA,NA,NA
GAZP,79,1,2016,"Orsolya Valkó, Balázs Deák, Péter Török, Anita Kirmer, Sabine Tischew, András Kelemen, Katalin Tóth, Tamás Miglécz, Szilvia Radócz, Judit Sonkoly, Edina Tóth, Réka Kiss, István Kapocsi & Béla Tóthmérész",High-diversity sowing in establishment gaps: a promising new tool for enhancing grassland biodiversity,Tuexenia,10.14471/2016.36.020,http://dx.doi.org/10.14471/2016.36.020,NA,NA,NA,NA,NA
GAZP,80,1,2015,"Miglécz, T., Valkó, O., Török, P., Deák, B., Kelemen, A., Donkó, Á., Drexler, D., Tóthmérész, B.",Establishment of three cover crop mixtures in vineyards,Scientia Horticulturae,10.1016/j.scienta.2015.09.017,https://doi.org/10.1016/j.scienta.2015.09.017,NA,NA,NA,NA,NA
GAZP,83,1,2002,"Arlee M. Montalvo, Paul A. McMillan, Edith B. Allen","The Relative Importance of Seeding Method, Soil Ripping, and Soil Variables on Seeding Success",Restoration Ecology,NA,https://doi.org/10.1046/j.1526-100X.2002.10106.x,NA,NA,NA,NA,NA
GAZP,84,1,2004,Carla M. Burton and Philip J. Burton,Long-Term Effects of Seeding Densities and Fertilization Treatments Using Seed from Herbaceous Species Native to the Northern Interior of British Columbia,Society for Ecological Restoration,NA,NA,NA,NA,NA,NA,NA
GAZP,84,2,2006,"Carla M. Burton, Philip J. Burton, Richard Hebda,5 and Nancy J. Turner",Determining the Optimal Sowing Density for a Mixture of Native Plants Used to Revegetate Degraded Ecosystems,Restoration Ecology,NA,https://doi.org/10.1111/j.1526-100X.2006.00146.x,NA,NA,NA,NA,NA
GAZP,85,1,2015,"J.A. Drake, A. Carrucan, W.R. Jackson, T.R. Cavagnaro, A.F. Patti",Biochar application during reforestation alters species present and soil chemistry,Science of the Total Environment,NA,http://dx.doi.org/10.1016/j.scitotenv.2015.02.012,NA,NA,NA,NA,NA
GAZP,86,1,2016,"Henriette John, Sandra Dullau, Annett Baasch, Sabine Tischew",Re-introduction of target species into degraded lowland haymeadows: How to manage the crucial first year?,Ecological Engineering,NA,http://dx.doi.org/10.1016/j.ecoleng.2015.11.001,NA,NA,NA,NA,NA
GAZP,87,1,2015,"Julie E. Larson, Roger L. Sheley, Stuart P. Hardegree, Paul S. Doescher and Jeremy J. James",Seed and seedling traits affecting critical life stage transitions and recruitment outcomes in dryland grasses,Journal of Applied Ecology,10.1111/1365-2664.12350,https://doi.org/10.1111/1365-2664.12350,NA,NA,NA,NA,NA
GAZP,88,1,NA,Dr. Tom Monaco,Effectiveness of low soil-disturbance treatments for improving native plant establishment in stable crested wheatgrass stands,Ecology & Management,NA,NA,NA,NA,NA,NA,NA
GAZP,89,1,2018,"Monaco, TA; Jones, A; Pendergast, M; Thacker, ET; Greenhalgh, L",Influence of Land-Use Legacies Following Shrub Reduction and Seeding of Big Sagebrush Sites,RANGELAND ECOLOGY & MANAGEMENT,10.1016/j.rama.2018.06.004,http://doi.org/10.1016/j.rama.2018.06.004,NA,NA,NA,NA,NA
GAZP,92,1,2021,"Kevin Z. Mganga, Eric Kaindi, Aphaxard J.N. Ndathi, Luwieke Bosma, Theophilus Kioko, Nancy Kadenyi, Stephen M. Wambua, Frank van Steenbergen, Nashon K.R. Musimba",Morphoecological characteristics of grasses used to restore degraded semi-arid African rangelands,Ecological Solutions and Evidence,10.1002/2688-8319.12078,https://doi.org/10.1002/2688-8319.12078,NA,NA,"Mganga, Kevin et al. (2020), Morphoecological characteristics of grasses used to restore degraded semi-arid African rangelands, Dryad, Dataset, https://doi.org/10.5061/dryad.sxksn031p",CC0,CC0
GAZP,93,1,2014,"Aninta Kirmer, Sabine Tischew",CONVERSION OF ARABLE LAND TO LOWLAND HAY MEADOWS – WHAT INFLUENCES RESTORATION SUCCESS?,NA,NA,NA,NA,NA,NA,NA,NA
GAZP,94,1,2016,"Anita Kirmer, Mark Pfau, Sandra Mann, Matthias Schrödter und Sabine Tischew",Successful establishment of perennial flower strips on productive sites by sowing wildflower-rich seed mixtures and engaging in site-specific management,Verlag W. Kohlhammer,10.17433/3.2016.50153383.109-118,NA,NA,NA,NA,NA,NA
GAZP,96,1,2021,"Magda garbowski, Daniella B. Johnston, Dirk V. Baker, Cynthis S. Brown",Invasive annual grass interacts with drought to influence plant communities and soil moisture in dryland restoration,Ecosphere,10.1002/ecs2.3417,https://doi.org/10.1002/ecs2.3417,NA,NA,NA,NA,NA
GRP,1,1,2012,"Carter, DL; Blair, JM",High richness and dense seeding enhance grassland restoration establishment but have little effect on drought response,ECOLOGICAL APPLICATIONS,10.1890/11-1970.1,http://doi.org/10.1890/11-1970.1,NA,01.10.19,"Carter, Daniel L.; M. Blair, John (2016): High richness and dense seeding enhance grassland restoration establishment but have little effect on drought response. Wiley. Collection. https://doi.org/10.6084/m9.figshare.c.3295451.v1",CC0,CC0
GRP,2,1,2020,"Rydgren, K; Auestad, I; Halvorsen, R; Hamre, LN; Jongejans, E; Topper, JP; Sulavik, J",Assessing restoration success by predicting time to recovery-But by which metric?,JOURNAL OF APPLIED ECOLOGY,10.1111/1365-2664.13526,http://doi.org/10.1111/1365-2664.13526,NA,02.18.2020,"Rydgren, Knut et al. (2019), Data from: Assessing restoration success by predicting time to recovery – but by which metric?, v3, Dryad, Dataset, https://doi.org/10.5061/dryad.hdr7sqvcr",CC0,CC0
GRP,2,1,2011,"Rydgren, K; Halvorsen, R; Odland, A; Skjerdal, G",Restoration of alpine spoil heaps: Successional rates predict vegetation recovery in 50 years,ECOLOGICAL ENGINEERING,10.1016/j.ecoleng.2010.11.022,http://doi.org/10.1016/j.ecoleng.2010.11.022,NA,02.18.2020,"Rydgren, Knut et al. (2019), Data from: Assessing restoration success by predicting time to recovery – but by which metric?, v3, Dryad, Dataset, https://doi.org/10.5061/dryad.hdr7sqvcr",CC0,CC0
GRP,3,1,2019,"Barber, NA; Farrell, AK; Blackburn, RC; Bauer, JT; Groves, AM; Brudvig, LA; Jones, HP",Grassland restoration characteristics influence phylogenetic and taxonomic structure of plant communities and suggest assembly mechanisms,JOURNAL OF ECOLOGY,10.1111/1365-2745.13250,http://doi.org/10.1111/1365-2745.13250,NA,01.15.2019,"Barber, Nicholas A. et al. (2019), Data from: Grassland restoration characteristics influence phylogenetic and taxonomic structure of plant communities and suggest assembly mechanisms, v2, Dryad, Dataset, https://doi.org/10.5061/dryad.dg5fd33",CC0,CC0
GRP,3,1,2020,"Anna M. Groves, Jonathan T. Bauer & Lars A. Brudvig ",Lasting signature of planting year weather on restored grasslands,Scientific Reports,10.1038/s41598-020-62123-7,https://doi.org/10.1038/s41598-020-62123-7,NA,08.03.20,"Groves, Anna; Bauer, Jonathan; Brudvig, Lars (2020), Lasting signature of planting year weather on restored grasslands, v2, Dryad, Dataset, https://doi.org/10.5061/dryad.6q573n5vt",CC0,CC0
GRP,4,1,2019,"Garrouj, M; Alard, D; Corcket, E; Marchand, L; Benot, ML",The effects of management on vegetation trajectories during the early-stage restoration of previously arable land after hay transfer,ECOLOGY AND EVOLUTION,10.1002/ece3.5798,http://doi.org/10.1002/ece3.5798,NA,02.20.2020,"Garrouj, Myriam et al. (2020), The effects of management on vegetation trajectories during the early‐stage restoration of previously arable land after hay transfer, v3, Dryad, Dataset, https://doi.org/10.5061/dryad.crjdfn30r",CC0,CC0
GRP,5,1,2019,"Chang, CC; Halpern, CB; Antos, JA; Avolio, ML; Biswas, A; Cook, JE; del Moral, R; Fischer, DG; Holz, A; Pabst, RJ; Swanson, ME; Zobel, DB",Testing conceptual models of early plant succession across a disturbance gradient,JOURNAL OF ECOLOGY,10.1111/1365-2745.13120,http://doi.org/10.1111/1365-2745.13120,NA,02.17.2020,"del Moral, Roger. ""Thirty Years of Permanent Vegetation Plots, Mount St. Helens, Washington, Usa: Ecological Archives E091‐152."" Ecology, v. 91,.7 pp. 2185. doi: 10.1890/09-2357.1",CC-BY,CC-BY
GRP,5,1,2010,Roger del Moral,"Thirty years of permanent vegetation plots, Mount St. Helens, Washington, USA: Ecological Archives E091-152",Biodiversity & Ecology,10.1890/09-2357.1,https://www.researchgate.net/publication/240777594,NA,02.17.2020,"del Moral, Roger. ""Thirty Years of Permanent Vegetation Plots, Mount St. Helens, Washington, Usa: Ecological Archives E091‐152."" Ecology, v. 91,.7 pp. 2185. doi: 10.1890/09-2357.1",CC-BY,CC-BY
GRP,6,1,2017,"Khalil, MI; Gibson, DJ; Baer, SG",Phylogenetic diversity reveals hidden patterns related to population source and species pools during restoration,JOURNAL OF APPLIED ECOLOGY,10.1111/1365-2664.12743,http://doi.org/10.1111/1365-2664.12743,NA,02.18.2020,"Khalil, Mohammed I.; Gibson, David J.; Baer, Sara G. (2017), Data from: Phylogenetic diversity reveals hidden patterns related to population source and species pools during restoration, Dryad, Dataset, https://doi.org/10.5061/dryad.122j7",CC0,CC0
GRP,7,1,1999,"Edward L. Webb, Rodolfo Peralta","Tree community diversity of lowland swamp forest in Northeast Costa Rica, and changes associated with controlled selective logging",Biodiversity and Conservation,NA,https://doi.org/10.1023/A:1008892016370,NA,NA,NA,NA,NA
